tag,tag_count,pos_count,neg_count,quality_score,average_score,keywords
Academics,75,64,11,0.7577172342936198,0.7683648379643758,class plan summer class going working asynchronous class class dealt personal issue plan summer plan summer graduate school going research summer mechanical engineering home stressed calc 3 exam took time check make sure handling stress well seemed okay tired studying constantly get outside give brain time relax get sun j current class well weekend class going ok one kind putting need work end semester encouraged try stay ahead fall behind may weekend went well according met family lunch got spend time ha take roommate dentist appointment tomorrow wished luck l caught regarding class guitar playing today played campus house church service ha enjoyed progress made class also going fairly well glad thing super stressful discus class semester average class went well learned build good habit class went okay struggled time management academic ended stress anything class went expected always room improvement word mine class yes semester apparently class rough semester class went pretty well described class meh got 4 0 class semester went great class went pretty well well class 20 credit lot take class pretty good semester hoping better sophomore year class went okay though class upcoming test planning taking exam overall class going fine working homework class going well overwatch hero play hall briefly coming back winning hall good waiting final start coming around class undecided considering engineering moving forward try figure take next year course load second half semester difficult going ok good wished luck upcoming exam let know reach ever needed anything stopped b room bayern psg game today disappointed see lost lost went wrong fun convoy also checked regarding class everything else glad hear well c involvement c physic department got opportunity research super cool gone long way towards career planning also happy hear class improving well college pharmacy ha kicking butt ha perfect 4 0 ga hoping maintain throughout semester even though sure finish good place super dope finally career planning pharmacy got touch e regarding end freshman year happy went track finish b super impressive keep good work dj upcoming final whether thought hard although super stressed definitely excited done couple week also headed texas past weekend watch race thought pretty cool also helped move tv car since wanted start packing bit early class semester went pretty well unfortunately bit work thought either fine also bit relationship girlfriend going class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class going going well roommate fine st thomas church go also class exam coming day upcoming aero exam experience class final ha coming weekend done pretty laid back relaxed class good swell class summer plan draft play bear steelers making class fine part class class ha group project engineering class coming close ready done grad school plan specialization decision aaron hall briefly ha class going well ha busy come floor dinner class summer plan job campus help pay college class well ready free time club getting involved around campus class purdue athletics seen q around lot shortly stairwell well like ha bit time school class schedule coming day good ha getting sun outside enjoying weather u well time thought worked riley hall case work elsewhere campus bathroom well enjoying class floor dinner class taking next semester also practiced com presentation starship ordering harrison play c exam likely going hard preparing class ha c exam going stay night studying doe exam really try practice getting good night rest exam well meal plan campus chic film line shortly hall well class going fine class club getting ready final final school year whole final campus ministry involved making friend campus academic midterm staying top class work final getting ready summer staying healthy physically order help academic
Campus/Community Involvement,48,44,4,0.7635258759061496,0.8089112701515356,wellness check signed anxiety workshop checking next week class dealt personal issue plan summer e going live next year rushed frac going living next year excited thing get enjoy weather well plan summer graduate school going research summer started conversation mentioning saw gym g favorite time go good way get break school stressed calc 3 exam took time check make sure handling stress well seemed okay tired studying constantly get outside give brain time relax get sun k getting ticket next year sporting event excited actually able go enjoy game person l caught regarding class guitar playing today played campus house church service ha enjoyed progress made class also going fairly well glad thing super stressful joined business fraternity semester class upcoming test planning taking exam overall class going fine working homework class going well overwatch hero play well ha work get done week part class going good coming back work working im yellow shirt core first game job pretty easy part enjoys class undecided considering engineering moving forward try figure take next year class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing st thomas church go also class exam coming day upcoming aero exam experience class final ha coming gym lap pool reservation swimming since swam high school end semester going ready summer break also question move procedure fraternity pledging weekend done pretty laid back relaxed class good swell frac pledging campus ministry involved club part class well ready free time class going fine upset bike gotten stolen least contact purdue police report already stuff home summer plan seen q around lot shortly stairwell well like ha bit time school class schedule coming day good ha getting sun outside enjoying weather u well time thought worked riley hall case work elsewhere campus bathroom well enjoying class floor dinner class taking next semester also practiced com presentation starship ordering harrison play c exam likely going hard preparing class ha c exam going stay night studying doe exam really try practice getting good night rest exam well meal plan campus chic film line shortly hall well class going fine class club final campus ministry involved social activity getting involved campus
Friends/Family/Relationships,31,28,3,0.7342885886469195,0.8158235722972501,class dealt personal issue plan summer plan summer graduate school going research summer j current class well weekend class going ok one kind putting need work end semester encouraged try stay ahead fall behind may weekend went well according met family lunch got spend time ha take roommate dentist appointment tomorrow wished luck made friend year community best relationship ra covid suck good people meet made friend outside dorm due military made lot new friend semester dorm made ton friend floor lot fraternity joined coming back work working im yellow shirt core first game job pretty easy part enjoys class semester went pretty well unfortunately bit work thought either fine also bit relationship girlfriend going class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class going going well roommate fine plan graduation campus ministry involved club getting involved around campus class going fine upset bike gotten stolen least contact purdue police report already stuff home summer plan summer plan making friend campus academic social activity getting involved campus making friend campus paying school
Goal Setting/Career Planning,29,21,8,0.6366121152351643,0.6107013944921822,wellness check signed anxiety workshop checking next week class plan summer worked towards goal exercising week accomplished goal dropping class set goal semester working towards getting ga 3 0 applied ra position worked unfortunately selected worry much lot applicant try next year c involvement c physic department got opportunity research super cool gone long way towards career planning also happy hear class improving well college pharmacy ha kicking butt ha perfect 4 0 ga hoping maintain throughout semester even though sure finish good place super dope finally career planning pharmacy class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing class final summer plan future semester plan housing plan graduation class summer plan grad school plan specialization decision class summer plan choosing career path finding job graduation paying debt summer plan getting internship summer getting job summer saving money college setting goal final getting internship summer final getting ready summer
Finances,7,3,4,0.527584535734994,0.41304807152066914,job campus help pay college stock market finding job graduation paying debt crypto currency getting job summer saving money college making friend campus paying school paying college
Mental Health,13,10,3,0.9019131660461426,0.7287006653272189,wellness check signed anxiety workshop checking next week class dealt personal issue plan summer e going live next year rushed frac going living next year excited thing get enjoy weather well started conversation mentioning saw gym g favorite time go good way get break school stressed calc 3 exam took time check make sure handling stress well seemed okay tired studying constantly get outside give brain time relax get sun k getting ticket next year sporting event excited actually able go enjoy game person absolutely wonderful beginning semester struggle thing getting lot better well thing moving upward average semester could better worse ready head home alone hit hard overly stressed need break
Social Justice,0,0,0,0.0,0.0,
